City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Kailua,US,85.98,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
12,Mount Isa,AU,78.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
13,Fort Walton Beach,US,84.99,clear sky,30.4058,-86.6188,Best Western Ft. Walton Beachfront
23,Kavieng,PG,84.22,light rain,-2.5744,150.7967,Nusa Island Retreat
38,Varadero,CU,79.56,few clouds,23.1536,-81.2514,Hotel Tuxpan Varadero
41,Tagusao,PH,86.43,overcast clouds,9.1924,117.8141,Toledo
42,Kununurra,AU,84.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
43,Sabang,ID,83.43,overcast clouds,5.8933,95.3214,Hotel Citra
46,Cabo San Lucas,MX,93.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
49,Alenquer,BR,80.94,scattered clouds,-1.9417,-54.7383,Josilene Castro
50,Wewak,PG,83.59,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
52,Bilma,NE,83.16,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
53,Lorengau,PG,85.05,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
58,The Valley,AI,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
59,Hilo,US,77.25,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
60,Calbiga,PH,87.08,light rain,11.6247,125.0164,Lola Rosa
62,Atuona,PF,77.4,overcast clouds,-9.8,-139.0333,Villa Enata
68,Georgetown,MY,85.89,few clouds,5.4112,100.3354,Cititel Penang
76,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
78,Saint George,US,82.38,broken clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
83,Gigmoto,PH,85.14,overcast clouds,13.7796,124.39,Cj's Travellers Inn
85,Kapaa,US,84.18,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
93,Thompson,CA,80.28,clear sky,55.7435,-97.8558,Burntwood Hotel
99,Mecca,SA,84.6,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
100,Panzhihua,CN,77.99,broken clouds,26.5851,101.7128,Electric Power Hotel
101,Porto Novo,BJ,75.52,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
104,Lucea,JM,81.86,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
105,Victoria,HK,90.25,broken clouds,22.2855,114.1577,Mini Hotel Central
107,Daru,PG,80.01,overcast clouds,-9.0763,143.2092,Daru Lodge
109,Zaysan,KZ,78.6,clear sky,47.4667,84.8667,Ерлан үй
111,Fuyu,CN,90.09,scattered clouds,45.1833,124.8167,Education Hostel
118,Nabire,ID,76.15,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
120,Monrovia,LR,76.82,overcast clouds,6.3005,-10.7969,Sunset Inn
125,Fortuna,US,82.47,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
126,Russell,US,80.2,light rain,32.3502,-85.1999,Macs
130,Beatrice,US,82.85,clear sky,40.2681,-96.747,Victorian Inn Beatrice
134,Butaritari,KI,83.08,light rain,3.0707,172.7902,Isles Sunset Lodge
135,Fairbanks,US,82.4,shower rain,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
136,Mae Hong Son,TH,76.66,overcast clouds,19.3003,97.9685,Baiyoke Chalet Hotel
139,Ayagoz,KZ,75.16,broken clouds,47.9714,80.4392,Gostinitsa Nur
148,Balkanabat,TM,90.61,few clouds,39.5108,54.3671,Nebitchi Hotel
150,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
151,Maple Creek,CA,84.94,clear sky,49.9168,-109.4848,Willowbend Campground & Cabins
